,Base,RandomSample,Agglomerative,RandomParameters
F1,12.146413803100586,18.86885094642639,9.64525318145752,9.153825759887695
F2,9.860909700393677,17.219354152679443,11.541068077087402,11.180574417114258
F3,13.242429494857788,20.45384168624878,13.24644660949707,12.905625820159912
F4,11.343526363372805,18.102936029434204,11.49220895767212,11.680597305297852
F5,9.559351205825806,15.580621719360352,10.078484535217283,9.434921503067017
F6,16.615558385849,25.729957580566406,18.79172372817993,17.76760721206665
F7,34.65659952163696,39.287126779556274,32.47637486457825,31.886521577835083
F8,19.3736035823822,25.57110381126404,18.655575275421143,17.908729076385498
F9,28.44732928276062,35.34300112724304,28.6494243144989,27.51266598701477
F20,40.46745920181274,47.63105583190918,41.48874545097351,41.4040470123291
F21,54.93077087402344,62.06483697891235,55.98552227020264,55.76946425437927
F22,65.99490404129028,73.37526297569275,67.2643551826477,65.5845193862915
F23,50.14751625061035,59.44977498054504,50.412275314331055,50.12389898300171
F24,59.52886486053467,69.4037299156189,60.60185170173645,59.32754039764404
F25,88.56166648864746,97.61990427970886,90.57621097564696,88.83040857315063
F26,93.82809376716614,101.3970775604248,94.16748809814452,93.32390975952148
F27,84.25428557395935,90.30655312538148,83.54161310195923,83.10701942443848
